abn,isCurrent,replacedFrom,entityStatus,effectiveFrom,effectiveTo,entityTypeCode,entityDescription,acnc_status,acnc_status_from,acnc_status_to,record_last_updated,gst,dgr,main_trading_names,other_trading_names,main_business_physical_address,tax_concession_endorsements
47916808753,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2629"", ""effectiveFrom"": ""2018-11-05"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
82493984077,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,,"{""organisationName"": ""ADAMINABY P & C ASSOCIATION"", ""effectiveFrom"": ""2000-06-27""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2629"", ""effectiveFrom"": ""2007-11-01"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
22863878651,Y,0001-01-01,Active,2002-04-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-12,0001-01-01,2019-04-09,"{""effectiveFrom"": ""2002-04-01"", ""effectiveTo"": ""0001-01-01""}","{""endorsedFrom"": ""2004-10-23"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Items 1 & 4""}",,,"{""stateCode"": ""NSW"", ""postcode"": ""2629"", ""effectiveFrom"": ""2015-01-27"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2004-10-23"", ""effectiveTo"": ""0001-01-01""}]"
44212858405,Y,0001-01-01,Active,2013-06-04,0001-01-01,OIE,Other Incorporated Entity,Registered,2023-07-01,0001-01-01,2024-09-28,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2024-03-06"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2023-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2023-07-01"", ""effectiveTo"": ""0001-01-01""}]"
93180549485,Y,0001-01-01,Active,2004-09-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,"{""endorsedFrom"": ""2004-12-10"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Items 1 & 4""}","{""organisationName"": ""Adelong Alive"", ""effectiveFrom"": ""2004-09-01""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2015-06-05"", ""effectiveTo"": ""0001-01-01""}","{""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2004-12-01"", ""effectiveTo"": ""0001-01-01""}"
83573347833,Y,0001-01-01,Active,2008-02-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,"{""endorsedFrom"": ""2009-07-01"", ""endorsedTo"": ""0001-01-01"", ""isCurrentIndicator"": ""Y"", ""entityEndorsement"": ""Endorsed DGR"", ""itemNumber"": ""Item 1""}","{""organisationName"": ""Riverina Bluebell"", ""effectiveFrom"": ""2008-02-01""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2018-11-05"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2009-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2009-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Exemption"", ""effectiveFrom"": ""2009-07-01"", ""effectiveTo"": ""0001-01-01""}]"
50265745767,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,,"{""organisationName"": ""ADELONG PUBLIC SCHOOL P&C"", ""effectiveFrom"": ""2000-06-24""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2014-01-11"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
82535287494,Y,0001-01-01,Active,1999-11-01,0001-01-01,UIE,Other Unincorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2017-06-30"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
99923325037,Y,0001-01-01,Active,2000-05-28,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-10,,,,,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2018-06-08"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
32593552002,Y,0001-01-01,Active,1999-11-01,0001-01-01,OIE,Other Incorporated Entity,Registered,2012-12-03,0001-01-01,2019-04-09,"{""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}",,"{""organisationName"": ""ADELONG PRE SCHOOL INCORP"", ""effectiveFrom"": ""2000-07-13""}",,"{""stateCode"": ""NSW"", ""postcode"": ""2729"", ""effectiveFrom"": ""2015-05-20"", ""effectiveTo"": ""0001-01-01""}","[{""endorsementType"": ""GST Concession"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""FBT Rebate"", ""effectiveFrom"": ""2005-07-01"", ""effectiveTo"": ""0001-01-01""}, {""endorsementType"": ""Income Tax Exemption"", ""effectiveFrom"": ""2000-07-01"", ""effectiveTo"": ""0001-01-01""}]"
